FILIAL,PROCESSO,PARTIDA,ARTIGO,COR,DESC_NM_MERC,MT_DISPONIV,DT_PROD,NUM_FIOS,FLANGE,LADO,MAQUINA,STATUS,URDUME,MT_PREVISTA,MT_A_BATER,MT_PROX24H,BATIDAS,RPM,EFIC_TA,EFIC_TB,EFIC_TC,EFIC_DIA,ART_PROGR,NM_MERC_PROG,COR_PG,URDUME_PRO,GRUPO_TEAR,REPROCESSO,LARGURA,TRAMA_REDUZIDA_1,TRAMA_REDUZIDA_2,DATA FINAL TECEL,HORA_FINAL_TECEL,TURNO_FINAL_TECE,HORA_FINAL_TECEL_V2,OBS ACABAMENTO,COD MOT REP,MOTIVO REPROCESSO,OBS REPROCESSO
5,TECELAGEM,0544815,YIC20951C5561C,561C,INFLUX,"0,00",,5696,55059, ,35013,P,U12.5-5696560,"1.872,00","1.872,00","409,84",23.5,835,"58,00","81,50","72,50","70,61",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,11/02/2026,0803,A,08:03,, , , 
5,TECELAGEM,0544423,YIC20950C5561C,561C,STOMP II,"2.222,97",,5696,55107, ,35014,N,U12.5-5696560,"2.340,00","117,03","409,84",23.5,835,"69,83","81,30","91,02","80,78",YIC20951C5561,INFLUX,561C,U12.5-5696560,6, ,137,167/96F BCO + 40DN E:2.9 (STL),,07/02/2026,1206,A,12:06,, , , 
5,TECELAGEM,0544812,YIC20951C5561C,561C,INFLUX,"94,04",,5696,55185, ,35015,N,U12.5-5696560,"2.340,00","2.245,96","409,84",23.5,835,"0,00","0,00","71,99","71,75",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,12/02/2026,0303,C,03:03,, , , 
5,TECELAGEM,0544817,YIC20951C5561C,561C,INFLUX,"0,00",,5696,55027, ,35016,N,U12.5-5696560,"1.872,00","1.872,00","409,84",23.5,835,"69,17","94,49","89,22","84,29",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,11/02/2026,1333,A,13:33,, , , 
5,TECELAGEM,0544609,YI310847G5561,561,LUCY A,"1.486,11",,4760,55117, ,35017,N,U10/1-4760561,"2.325,00","838,89","464,40",18,750,"61,84","88,58","89,14","79,93",YI310847G5561,LUCY A,561,U10/1-4760561,5, ,147,166/48F NGO + 40D E:2.6 (STL),,08/02/2026,1916,B,19:16,, , , 
5,TECELAGEM,0544611,YI310847G5561,561,LUCY A,"1.395,00",,4760,55008, ,35018,P,U10/1-4760561,"2.325,00","930,00","464,40",18,750,"70,41","95,07","91,51","85,74",YI310847G5561,LUCY A,561,U10/1-4760561,5, ,147,166/48F NGO + 40D E:2.6 (STL),,08/02/2026,2319,C,23:19,, , , 
5,TECELAGEM,0544621,YI310848G5561,561,LAREDO A,"1.083,69",,4760,55075, ,35019,N,U10/1-4760561,"2.300,00","1.216,31","439,96",19,750,"63,61","84,44","67,22","71,76",YI310848G5561,LAREDO A,561,U10/1-4760561,5, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,1503,B,15:03,, , , 
5,TECELAGEM,0544623,YI310848G5561,561,LAREDO A,"785,80",,4760,55064, ,35020,P,U10/1-4760561,"1.334,00","548,20","439,96",19,750,"58,17","84,21","71,75","71,38",YI310848G5561,LAREDO A,561,U10/1-4760561,5, ,146,167/96F BCO + 40DN E:2.9 (STL),,08/02/2026,0743,A,07:43,, , , 
5,TECELAGEM,0544806,YIC20951C5561C,561C,INFLUX,"312,76",,5696,55137, ,35021,N,U12.5-5696560,"2.340,00","2.027,24","409,84",23.5,835,"26,49","73,61","92,01","64,31",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,11/02/2026,1539,B,15:39,, , , 
5,TECELAGEM,0544409,YIC20950C5561C,561C,STOMP II,"2.264,29",,5696,55119, ,35022,N,U12.5-5696560,"2.340,00","75,71","409,84",23.5,835,"71,36","91,50","92,96","85,28",YIC20951C5561,INFLUX,561C,U12.5-5696560,6, ,137,167/96F BCO + 40DN E:2.9 (STL),,07/02/2026,0957,A,09:57,, , , 
5,TECELAGEM,0544814,YIC20951C5561C,561C,INFLUX,"25,96",,5696,55129, ,35023,N,U12.5-5696560,"2.246,40","2.220,44","409,84",23.5,835,"0,00","0,00","30,65","30,50",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,12/02/2026,0143,C,01:43,, , , 
5,TECELAGEM,0544813,YIC20951C5561C,561C,INFLUX,"0,00",,5696,55029, ,35024,N,U12.5-5696560,"2.340,00","2.340,00","409,84",23.5,835,"66,83","92,96","71,36","76,99",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,12/02/2026,0802,A,08:02,, , , 
5,TECELAGEM,0544610,YI310848G5561,561,LAREDO A,"1.197,90",,4760,55149, ,35025,N,U10/1-4760561,"2.300,00","1.102,10","439,96",19,750,"63,16","88,09","87,81","79,61",,,,,3, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,0942,A,09:42,, , , 
5,TECELAGEM,0544613,YI310848G5561,561,LAREDO A,"1.287,37",,4760,55122, ,35026,N,U10/1-4760561,"2.300,00","1.012,63","439,96",19,750,"57,78","86,39","80,83","75,00",YI310848G5561,LAREDO A,561,U10/1-4760561,3, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,0530,C,05:30,, , , 
5,TECELAGEM,0544615,YI310847G5561,561,LUCY A,"1.340,56",,4760,55099, ,35027,N,U10/1-4760561,"2.325,00","984,44","464,40",18,750,"68,33","95,28","87,78","83,80",YI310848G5561,LAREDO A,561,U10/1-4760561,5, ,147,166/48F NGO + 40D E:2.6 (STL),,09/02/2026,0145,C,01:45,, , , 
5,TECELAGEM,0544612,YI310848G5561,561,LAREDO A,"1.391,05",,4760,55139, ,35028,N,U10/1-4760561,"2.300,00","908,95","439,96",19,750,"65,28","96,11","93,61","85,00",YI310848G5561,LAREDO A,561,U10/1-4760561,5, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,0038,C,00:38,, , , 
5,TECELAGEM,0544808,YIC20947P5560,560,NUUK II,"78,10",,5696,55077, ,35029,N,U12.5-5696560,"2.387,50","2.309,40","395,74",21,750,"0,00","9,72","35,83","22,78",,,,,6, ,145,167/96F BCO + 40DN E:2.9 (STL),,12/02/2026,0545,C,05:45,, , , 
5,TECELAGEM,0544802,YIC20947P5560,560,NUUK II,"442,39",,5696,55130, ,35030,N,U12.5-5696560,"2.387,50","1.945,11","395,74",21,750,"56,99","97,81","94,52","83,18",,,,,6, ,145,167/96F BCO + 40DN E:2.9 (STL),,11/02/2026,1051,A,10:51,, , , 
5,TECELAGEM,0544816,YIC20950C5561C,561C,STOMP II,"0,00",,5696,55168, ,35031,N,U12.5-5696560,"1.872,00","1.872,00","407,39",23.5,830,"56,36","89,78","58,35","68,22",,,,,4, ,137,167/96F BCO + 40DN E:2.9 (STL),,11/02/2026,0939,A,09:39,, , , 
5,TECELAGEM,0544809,YIC20950C5561C,561C,STOMP II,"147,66",,5696,55078, ,35032,N,U12.5-5696560,"2.386,80","2.239,14","407,39",23.5,830,"24,12","24,75","61,85","36,95",,,,,4, ,137,167/96F BCO + 40DN E:2.9 (STL),,12/02/2026,0324,C,03:24,, , , 
5,TECELAGEM,1544605,YI310848G5561,561,LAREDO A,"378,43",,4760,55141, ,35033,N,U10/1-4760561,"1.327,15","948,72","439,96",19,750,"56,82","80,22","54,04","63,75",YI310848G5561,LAREDO A,561,U10/1-4760561,3, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,0230,C,02:30,, , , 
5,TECELAGEM,0544804,YIC20948P5560,560,TALLIN II,"233,33",,5696,55010, ,35034,N,U12.5-5696560,"2.387,50","2.154,17","401,02",21,760,"0,00","67,67","66,58","56,58",,,,,3, ,145,166/48F NGO + 40D E:2.6 (STL),,11/02/2026,2013,B,20:13,, , , 
5,TECELAGEM,0544617,YI310847G5561,561,LUCY A,"1.219,44",,4760,55182, ,35035,N,U10/1-4760561,"2.325,00","1.105,56","464,40",18,750,"59,44","75,00","85,00","73,15",YI310848G5561,LAREDO A,561,U10/1-4760561,3, ,147,166/48F NGO + 40D E:2.6 (STL),,09/02/2026,0708,A,07:08,, , , 
5,TECELAGEM,0544417,YIC20950C5561C,561C,STOMP II,"1.980,43",,5696,55180, ,35036,N,U12.5-5696560,"2.340,00","359,57","373,03",23.5,760,"55,62","71,51","81,37","69,56",,,,,3, ,137,167/96F BCO + 40DN E:2.9 (STL),,08/02/2026,0235,C,02:35,, , , 
5,TECELAGEM,0544614,YI310848G5561,561,LAREDO A,"1.134,21",,4760,55067, ,35037,N,U10/1-4760561,"2.300,00","1.165,79","486,89",19,830,"50,75","76,13","72,61","66,44",,,,,4, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,0725,A,07:25,, , , 
5,TECELAGEM,0544404,YIC20950C5561C,561C,STOMP II,"2.091,49",,5696,55108, ,35038,N,U12.5-5696560,"2.340,00","248,51","373,03",23.5,760,"38,63","76,16","86,85","67,28",YIC20951C5561,INFLUX,561C,U12.5-5696560,4, ,137,167/96F BCO + 40DN E:2.9 (STL),,07/02/2026,2013,B,20:13,, , , 
5,TECELAGEM,0544411,YIC20950C5561C,561C,STOMP II,"2.147,67",,5696,55146, ,35039,N,U12.5-5696560,"2.340,00","192,33","368,12",23.5,750,"57,81","94,52","90,96","81,17",YIC20951C5561,INFLUX,561C,U12.5-5696560,4, ,137,167/96F BCO + 40DN E:2.9 (STL),,07/02/2026,1709,B,17:09,, , , 
5,TECELAGEM,0544818,YIC20951C5561C,561C,INFLUX,"0,00",,5696,55111, ,35040,N,U12.5-5696560,"1.965,60","1.965,60","407,39",23.5,830,"56,28","94,22","93,72","81,34",,,,,4, ,139,166/48F NGO + 40D E:2.6 (STL),,11/02/2026,1643,B,16:43,, , , 
5,TECELAGEM,0544606,YI310848G5561,561,LAREDO A,"1.495,78",,4760,55159, ,35041,N,U10/1-4760561,"2.300,00","804,22","445,82",19,760,"66,76","94,23","91,76","84,25",YI310848G5561,LAREDO A,561,U10/1-4760561,3, ,146,167/96F BCO + 40DN E:2.9 (STL),,08/02/2026,1913,B,19:13,, , , 
5,TECELAGEM,0544608,YI310847G5561,561,LUCY A,"915,00",,4760,55013, ,35042,N,U10/1-4760561,"2.325,00","1.410,00","464,40",18,750,"66,39","69,72","85,28","73,80",,,,,3, ,147,166/48F NGO + 40D E:2.6 (STL),,09/02/2026,2040,B,20:40,, , , 
5,TECELAGEM,0544807,YIC20951C5561C,561C,INFLUX,"0,00",,5696,55051, ,35043,N,U12.5-5696560,"2.340,00","2.340,00","368,12",23.5,750,"0,00","0,00","0,00","0,00",,,,,3, ,139,166/48F NGO + 40D E:2.6 (STL),,12/02/2026,2201,C,22:01,, , , 
5,TECELAGEM,0544616,YI310848G5561,561,LAREDO A,"1.168,41",,4760,55109, ,35044,N,U10/1-4760561,"2.392,00","1.223,59","445,82",19,760,"59,72","73,61","73,33","68,89",YI310848G5561,LAREDO A,561,U10/1-4760561,3, ,146,167/96F BCO + 40DN E:2.9 (STL),,09/02/2026,1439,B,14:39,, , , 
5,TECELAGEM,0544422,YIC20950C5561C,561C,STOMP II,"1.677,87",,5696,55098, ,35045,P,U12.5-5696560,"2.340,00","662,13","407,39",23.5,830,"59,55","87,19","78,39","74,98",,,,,4, ,137,167/96F BCO + 40DN E:2.9 (STL),,08/02/2026,1643,B,16:43,, , , 
