FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,20/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","798,00","96,2","96,3",00096,"1,006",9500,1,51,5,24,32,12,14,16,2,29,0,0,0,138,0,0,0
05,003,050403,OPEN END III                  ,20/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","810,00","97,6","97,3",00096,"1,006",9500,1,32,8,55,23,7,25,12,3,3,0,0,0,126,0,0,0
05,003,050403,OPEN END III                  ,20/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","781,50","94,2","94,5",00096,"1,006",9500,2,35,6,70,22,10,34,8,4,48,1,0,0,181,0,0,0
05,003,050403,OPEN END III                  ,20/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","808,10","97,4","97,1",00096,"1,006",9500,1,40,8,25,24,7,16,18,6,11,0,0,0,139,0,0,0
05,003,050403,OPEN END III                  ,20/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","803,40","96,8","97,0",00096,"1,006",9500,2,81,22,61,32,15,27,15,6,14,0,0,0,212,0,0,0
05,003,050403,OPEN END III                  ,21/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","624,70","75,3","75,6",00096,"1,006",9500,0,45,8,36,12,13,13,4,2,4,0,0,0,259,0,0,0
05,003,050403,OPEN END III                  ,21/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","718,40","86,6","86,3",00096,"1,006",9500,0,26,10,22,23,6,10,9,1,2,1,0,0,247,0,0,0
FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,21/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","53,00","6,4","12,6",00096,"1,006",9500,0,3,1,12,0,1,2,1,1,0,4,0,0,51,0,0,0
05,003,050403,OPEN END III                  ,21/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,21/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,21/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","15,60","1,9","3,7",00096,"1,006",9500,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
05,003,050403,OPEN END III                  ,26/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","535,10","64,5","76,0",00096,"1,006",9500,1,92,12,17,62,4,12,3,4,19,2,0,0,184,0,0,0
05,003,050403,OPEN END III                  ,26/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","440,20","53,0","62,7",00096,"1,006",9500,1,50,17,20,52,8,23,22,7,32,1,0,0,150,0,0,0
