FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542212,005,70195701,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,005,70195701,AF311006E5561,ICON IV,205,FIO IRREGULAR,2,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,310,FIO DUPLO,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,313,FIO QUEBRADO,4,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,006,70195704,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,382,TRAMA CURTA,4,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,007,70195705,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,354,TRAMA FLOJA LARGA,4,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,008,70195706,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542212,009,70195707,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,009,70195707,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
