MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
165001,YI310847G5561,LUCY A,0544201,"2.035,00",04/02/2026,14:00,A,"149,00","281,33","14,00","-1,60","-13,09","2,25","5,50","4,50","7,93","4,83","36,40","21,00",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544203,"2.106,00",04/02/2026,12:38,A,"149,00","279,00","14,00","-2,00","-13,76","3,25","5,50","3,75","6,90","4,70","37,20","21,00",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544207,"2.042,00",04/02/2026,18:15,B,"149,00","269,00","14,00","-1,40","-13,42","3,75","6,25","5,50","3,79","4,90","36,80","21,30",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544306,"2.031,00",05/02/2026,01:21,C,"149,00","280,00","14,00","-0,80","-12,75","5,00","7,75","4,75","5,17","5,70","36,00","21,00",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544313,"1.960,00",06/02/2026,10:30,A,"148,00","277,00","14,00","-1,60","-12,50","2,00","4,75","7,25","7,50","5,20","37,20","21,00",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544321,"2.035,00",06/02/2026,12:48,A,"148,50","280,00","14,00","-1,40","-12,79","2,00","5,00","7,50","7,72","5,39","34,80","21,00",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544320,"2.060,00",06/02/2026,11:40,A,"148,00","281,00","14,00","-2,00","-12,84","5,00","7,00","6,25","7,86","6,42","36,00","20,80",A,YI310847G5,561,, ,01
165001,YI310848G5561,LAREDO A,1544107,"318,00",04/02/2026,22:44,C,"147,50","287,00","14,00","-1,20","-13,56","5,50","7,25","3,50","3,64","5,08","36,80","22,10",A,YI310848G5,561,, ,01
165001,YI310848G5561,LAREDO A,0544211,"2.089,00",04/02/2026,19:40,B,"148,00","283,00","14,00","-1,20","-13,85","3,25","3,00","3,75","7,14","4,05","37,20","22,20",A,YI310848G5,561,, ,01
165001,YI310848G5561,LAREDO A,0544222,"2.044,00",04/02/2026,21:00,B,"148,00","287,00","14,00","-1,40","-13,18","4,00","6,00","7,00","3,93","5,34","37,20","21,70",A,YI310848G5,561,, ,01
165001,YI310848G5561,LAREDO A,0544215,"2.037,00",04/02/2026,22:32,B,"147,50","275,00","14,00","-1,20","-12,88","3,50","6,00","8,00","4,73","5,63","36,40","21,80",A,YI310848G5,561,, ,01
165001,YI310848G5561,LAREDO A,0544310,"2.049,00",05/02/2026,02:41,C,"149,00","287,00","14,00","-1,20","-13,76","5,25","4,75","5,00","3,79","4,77","38,00","22,10",A,YI310848G5,561,, ,01
165001,YI310848G5561,LAREDO A,0544209,"2.055,00",05/02/2026,00:01,C,"149,00","291,00","14,00","-0,80","-14,97","3,75","5,00","6,25","4,14","4,83","37,20","22,10",A,YI310848G5,561,, ,01
165001,YI310852G5561,LAREDO A,0544124,"1.976,00",06/02/2026,06:43,C,"146,50","287,00","14,00","-1,20","-12,63","5,00","7,50","5,00","6,79","6,01","42,00","22,30",A,YI310852G5,561,, ,01
165001,YIC20947P5560,NUUK II,0544405,"787,00",05/02/2026,05:12,C,"147,00","291,00","14,50","-0,80","-21,09","2,50","2,00","0,75","3,33","2,04","54,40","24,40",A,YIC20947P5,560,, ,01
165001,YIC20947P5560,NUUK II,0544425,"680,00",06/02/2026,13:15,A,"144,50","295,00","14,50","-1,20","-21,45","2,50","2,25","-1,00","4,08","1,73","56,00","24,00",A,YIC20947P5,560,, ,01
165001,YIC20948P5560,TALLIN II,0544426,"172,00",06/02/2026,12:52,A,"144,50","290,00","14,50","-1,60","-19,38","3,00","3,25","-1,00","3,27","2,01","50,00","24,00",A,YIC20948P5,560,, ,01
165001,YIC20949C5920,MACAO,1544014,"962,00",02/02/2026,22:33,C,"147,00","290,00","13,00","-1,20","-15,65","2,50","2,50","1,50","2,59","2,24","46,00","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544019,"1.025,00",02/02/2026,16:45,B,"148,50","288,00","13,00","-2,00","-19,87","1,25","1,00","1,50","2,11","1,41","48,00","24,00",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544015,"1.068,00",02/02/2026,16:15,B,"147,00","283,00","13,00","-1,40","-19,05","1,50","1,00","1,25","3,33","1,63","47,20","24,40",A,YIC20949C5,920,, ,01
165001,YIC20949C5920,MACAO,1544007,"1.065,00",02/02/2026,15:43,B,"148,00","291,00","13,00","-1,40","-19,26","1,50","0,75","2,75","1,79","1,69","46,80","24,00",A,YIC20949C5,920,, ,01
